binCapacity,id,wardID,binColor,binID,binCategory,binFullnessThreshold,location.coordinates,location.type,deviceInfo.rfID,deviceInfo.deviceID
1.1,varanasismartcity.gov.in/62d1f729edd3d2a1a090cb1c6c89356296963d55/rs.iudx.org.in/varanasi-swm-additional-info/varanasi-swm-bin-details,51,Green,5086,Dustbin,80,"[83.000653, 25.300077]",Point,E200637C923342716614A909,GBIN000363
1.1,varanasismartcity.gov.in/62d1f729edd3d2a1a090cb1c6c89356296963d55/rs.iudx.org.in/varanasi-swm-additional-info/varanasi-swm-bin-details,45,Green,5087,Dustbin,80,"[82.998638, 25.300437]",Point,E200637C92A209716615B825,GBIN000462
1.1,varanasismartcity.gov.in/62d1f729edd3d2a1a090cb1c6c89356296963d55/rs.iudx.org.in/varanasi-swm-additional-info/varanasi-swm-bin-details,45,Green,5088,Dustbin,80,"[82.99285, 25.300065]",Point,E200637C92085E316613FD78,GBIN000438
1.1,varanasismartcity.gov.in/62d1f729edd3d2a1a090cb1c6c89356296963d55/rs.iudx.org.in/varanasi-swm-additional-info/varanasi-swm-bin-details,13,Green,5094,Dustbin,80,"[82.978684, 25.283006]",Point,E200637C9240ABF16614DEAF,GBIN000416
1.1,varanasismartcity.gov.in/62d1f729edd3d2a1a090cb1c6c89356296963d55/rs.iudx.org.in/varanasi-swm-additional-info/varanasi-swm-bin-details,29,Green,5095,Dustbin,80,"[82.990625, 25.280307]",Point,E200637C9236DCF16614B773,GBIN000427
1.1,varanasismartcity.gov.in/62d1f729edd3d2a1a090cb1c6c89356296963d55/rs.iudx.org.in/varanasi-swm-additional-info/varanasi-swm-bin-details,62,Green,5096,Dustbin,80,"[82.990978, 25.308413]",Point,E200637C92CE0BB16616682E,GBIN000407
1.1,varanasismartcity.gov.in/62d1f729edd3d2a1a090cb1c6c89356296963d55/rs.iudx.org.in/varanasi-swm-additional-info/varanasi-swm-bin-details,28,Green,5097,Dustbin,80,"[83.000355, 25.323858]",Point,E200637C922C0D3166148C34,GBIN000556
1.1,varanasismartcity.gov.in/62d1f729edd3d2a1a090cb1c6c89356296963d55/rs.iudx.org.in/varanasi-swm-additional-info/varanasi-swm-bin-details,19,Green,51,Dustbin,80,"[82.977649, 25.306123]",Point,E200637C92100F3166141C3C,GBIN000062
1.1,varanasismartcity.gov.in/62d1f729edd3d2a1a090cb1c6c89356296963d55/rs.iudx.org.in/varanasi-swm-additional-info/varanasi-swm-bin-details,29,Green,5101,Dustbin,80,"[82.98433, 25.281585]",Point,E200637C92D0163166167058,GBIN000535
1.1,varanasismartcity.gov.in/62d1f729edd3d2a1a090cb1c6c89356296963d55/rs.iudx.org.in/varanasi-swm-additional-info/varanasi-swm-bin-details,29,Green,5102,Dustbin,80,"[82.98433, 25.281585]",Point,E200637C9203CCF16613EB33,GBIN000723
