id,currentLevel,measuredDistance,observationDateTime,referenceLevel
datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-flood/FWR055,11.45,4.45,2022-05-03T01:00:00+05:30,15.9
datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-flood/FWR055,11.43,4.47,2022-05-03T01:30:00+05:30,15.9
datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-flood/FWR055,11.34,4.56,2022-05-03T02:00:00+05:30,15.9
datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-flood/FWR055,11.52,4.38,2022-05-03T00:30:00+05:30,15.9
datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-flood/FWR055,11.49,4.41,2022-05-03T00:45:00+05:30,15.9
datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-flood/FWR055,11.35,4.55,2022-05-01T02:15:00+05:30,15.9
datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-flood/FWR055,11.37,4.53,2022-05-01T03:30:00+05:30,15.9
datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-flood/FWR055,11.36,4.54,2022-05-01T03:00:00+05:30,15.9
datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-flood/FWR055,11.36,4.54,2022-05-01T02:30:00+05:30,15.9
datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-flood/FWR055,11.37,4.53,2022-05-01T03:15:00+05:30,15.9
datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-flood/FWR055,11.38,4.52,2022-05-01T02:45:00+05:30,15.9
datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-flood/FWR055,11.41,4.49,2022-05-01T04:00:00+05:30,15.9
datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-flood/FWR055,11.47,4.43,2022-05-01T13:45:00+05:30,15.9
datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-flood/FWR055,11.43,4.47,2022-05-01T14:00:00+05:30,15.9
datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-flood/FWR055,11.44,4.46,2022-05-01T14:45:00+05:30,15.9
datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-flood/FWR055,11.46,4.44,2022-05-01T13:15:00+05:30,15.9
datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-flood/FWR055,11.49,4.41,2022-05-01T13:30:00+05:30,15.9
datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-flood/FWR055,11.46,4.44,2022-05-01T15:15:00+05:30,15.9
datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-flood/FWR055,11.46,4.44,2022-05-01T15:00:00+05:30,15.9
datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-flood/FWR055,11.5,4.4,2022-05-01T14:15:00+05:30,15.9
datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-flood/FWR055,11.46,4.44,2022-05-01T14:30:00+05:30,15.9
datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-flood/FWR055,11.37,4.53,2022-05-02T02:00:00+05:30,15.9
datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-flood/FWR055,11.35,4.55,2022-05-02T00:30:00+05:30,15.9
datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-flood/FWR055,11.37,4.53,2022-05-02T01:30:00+05:30,15.9
datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-flood/FWR055,11.39,4.51,2022-05-02T02:30:00+05:30,15.9
datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-flood/FWR055,11.33,4.57,2022-05-02T01:00:00+05:30,15.9
datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-flood/FWR055,11.35,4.55,2022-05-02T02:15:00+05:30,15.9
datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-flood/FWR055,11.41,4.49,2022-05-02T01:15:00+05:30,15.9
datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-flood/FWR055,11.37,4.53,2022-05-02T01:45:00+05:30,15.9
datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-flood/FWR055,11.47,4.43,2022-05-02T12:45:00+05:30,15.9
datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-flood/FWR055,11.47,4.43,2022-05-02T12:15:00+05:30,15.9
datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-flood/FWR055,11.47,4.43,2022-05-02T13:00:00+05:30,15.9
datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-flood/FWR055,11.45,4.45,2022-05-02T13:15:00+05:30,15.9
datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-flood/FWR055,11.45,4.45,2022-05-02T12:00:00+05:30,15.9
datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-flood/FWR055,11.45,4.45,2022-05-02T13:45:00+05:30,15.9
datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-flood/FWR055,11.45,4.45,2022-05-02T12:30:00+05:30,15.9
datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-flood/FWR055,11.48,4.42,2022-05-02T11:45:00+05:30,15.9
datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-flood/FWR055,11.44,4.46,2022-05-02T13:30:00+05:30,15.9
datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-flood/FWR055,11.46,4.44,2022-05-02T23:30:00+05:30,15.9
datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-flood/FWR055,11.43,4.47,2022-05-02T22:30:00+05:30,15.9
datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-flood/FWR055,11.4,4.5,2022-05-02T23:00:00+05:30,15.9
datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-flood/FWR055,11.36,4.54,2022-05-02T22:15:00+05:30,15.9
datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-flood/FWR055,11.47,4.43,2022-05-02T23:45:00+05:30,15.9
datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-flood/FWR055,11.4,4.5,2022-05-02T23:15:00+05:30,15.9
datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-flood/FWR055,11.37,4.53,2022-05-02T22:45:00+05:30,15.9
datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-flood/FWR055,11.43,4.47,2022-05-03T00:15:00+05:30,15.9
